PropertyID,PropType,nbhd,Style,Extwall,Stories,Year_Built,Rooms,FinishedSqft,Units,Bdrms,Fbath,Hbath,Sale_price,RICH
105099,Commercial,6460,Office Building - Class A,Brick,12,1983,NULL,210744,725,NULL,0,0,21850000,YES
105099,Commercial,6460,Office Building - Class A,Brick,12,1983,NULL,210744,725,NULL,0,0,21850000,YES
102708,Commercial,6453,Office Building - Multi Story ( Ofc & Apt),Brick,3,1990,NULL,245266,8,NULL,0,0,20828000,YES
265842,Commercial,6455,Super Market,Precast Masonary,1,2005,NULL,104365,1,NULL,0,0,20000000,YES
208277,Lg Apartment,6978,AP4 (Conv Apt with 21 or more Units),Masonary Frame,4,2016,NULL,83827,84,NULL,0,0,17400000,YES
260762,Commercial,6420,Warehouse Building - 1 Story,Precast Masonary,1,2007,NULL,156025,9,NULL,0,0,17225000,YES
205734,Commercial,6272,Office Building - Class B,Concrete Block,2,1948,NULL,113300,58,NULL,0,0,14600000,YES
260771,Lg Apartment,6979,AP4 (Conv Apt with 21 or more Units),Other,5,2017,NULL,91454,70,NULL,0,0,14600000,YES
193208,Commercial,6460,"Parking Garage, Parking Ramp",Precast Masonary,7,1972,NULL,232960,737,NULL,0,0,14500000,YES
200945,Lg Apartment,6974,AP4 (Conv Apt with 21 or more Units),Brick,4,1895,NULL,118906,74,NULL,0,0,14450000,YES
265265,Lg Apartment,6982,AP4 (Conv Apt with 21 or more Units),Brick,5,2018,NULL,61940,62,NULL,0,0,14250000,YES
265785,Commercial,6423,Mini Warehouse,Metal Siding,1,2017,NULL,64440,389,NULL,0,0,13735000,YES
207072,Commercial,6275,Multi Story Warehouse,Brick,7,1904,NULL,98035,12,NULL,0,0,11900000,YES
199205,Commercial,6296,Office Building - 1 Story,Brick,1,1964,NULL,42141,101,NULL,0,0,11000000,YES
207071,Lg Apartment,6974,Subsidized Apartments,Brick,14,1918,NULL,196753,115,NULL,0,0,9000000,YES
206712,Manufacturing,6300,Warehouse Building - 1 Story,Precast Masonary,1,2014,NULL,68276,2,NULL,0,0,8025000,YES
229609,Commercial,6420,Warehouse Building - 1 Story,Metal Siding,1,1957,NULL,127812,5,NULL,0,0,7735000,YES
193080,Lg Apartment,6974,AP4 (Conv Apt with 21 or more Units),Masonary Frame,4,2013,NULL,29340,34,NULL,0,0,7500000,YES
206777,Manufacturing,6300,Commercial Exempt,,,NULL,NULL,0,1,NULL,0,0,7450000,YES
265529,Commercial,6420,Warehouse Building - 1 Story,Concrete Block,1,1991,NULL,139280,2,NULL,0,0,7300000,YES
151240,Commercial,6455,Super Market,Concrete Block,1,1984,NULL,90201,4,NULL,0,0,5850000,YES
258313,Commercial,6452,Neighborhood Center,Concrete Block,1,1958,NULL,95000,6,NULL,0,0,5800000,YES
151294,Lg Apartment,6973,AP4 (Conv Apt with 21 or more Units),Brick,2,1959,NULL,61658,94,NULL,0,0,5440000,YES
265513,Commercial,6420,Warehouse Building - 1 Story,Concrete Block,1,1986,NULL,170090,3,NULL,0,0,5200000,YES
240590,Lg Apartment,6980,Subsidized Apartments,Alum/Vynyl Siding,2,2002,NULL,46236,45,NULL,0,0,5100000,YES
107794,Commercial,6420,Warehouse Building - 1 Story,Concrete Block,1,1963,NULL,122436,2,NULL,0,0,4850000,YES
256739,Commercial,6475,Hotel - Limited Service,Other,3,1986,NULL,44820,116,NULL,0,0,4615000,YES
264814,Commercial,6460,Multi Story Warehouse,Brick,1,1915,NULL,32745,7,NULL,0,0,4486720,YES
247234,Commercial,6449,Nursing Home,Brick,,1993,NULL,60841,99,NULL,0,0,4127700,YES
199568,Commercial,6460,Office Building - Class B,Brick,2.5,1891,NULL,60069,77,NULL,0,0,4000000,YES
105117,Commercial,6453,Office Building - 1 Story,Brick,1,2006,NULL,29297,1,NULL,0,0,3850000,YES
222204,Lg Apartment,6981,AP4 (Conv Apt with 21 or more Units),,,1994,NULL,35610,32,NULL,0,0,3850000,YES
175093,Commercial,6417,"Bank, Savings & Loan",Concrete Block,2,1964,NULL,10708,4,NULL,0,0,3550000,YES
247078,Commercial,6440,Fast Food Operation,Precast Masonary,1,2020,NULL,4387,1,NULL,0,0,3375000,YES
258565,Commercial,6449,Nursing Home,Brick,1,1970,NULL,62714,81,NULL,0,0,3366096,YES
257819,Commercial,6286,Strip Shopping Center,Concrete Block,1,1968,NULL,17487,10,NULL,0,0,3100000,YES
